iter	Logloss
0	0.6517410512
1	0.6214346859
2	0.5941521386
3	0.5769031206
4	0.5641859149
5	0.5543877795
6	0.5464627355
7	0.540044447
8	0.536019944
9	0.5303943383
10	0.5273979265
11	0.5254020401
12	0.5233786689
13	0.5219499928
14	0.5202135873
15	0.5191088999
16	0.5181068094
17	0.5169966657
18	0.5161682482
19	0.5155682655
20	0.5149640256
21	0.5144595658
22	0.5140721365
23	0.5136323422
24	0.5132424457
25	0.5128808833
26	0.5125875937
27	0.5122221952
28	0.5119364506
29	0.511652343
30	0.5112834669
31	0.510370629
32	0.5101693157
33	0.5099295942
34	0.5097375536
35	0.5095212657
36	0.5093630588
37	0.5092370368
38	0.5090493167
39	0.508835816
40	0.508694422
41	0.5085865524
42	0.5080820789
43	0.5077988334
44	0.5076646559
45	0.5074789722
46	0.5073073561
47	0.5071915189
48	0.5069875151
49	0.5068079084
50	0.5067273633
51	0.5065591107
52	0.5063970293
53	0.5063314099
54	0.506194524
55	0.5060254217
56	0.5059268488
57	0.5057292101
58	0.5056009783
59	0.5054374914
60	0.5052846579
61	0.5052274869
62	0.505058292
63	0.5049139814
64	0.5047867481
65	0.5046329788
66	0.5045659956
67	0.5044222617
68	0.504308876
69	0.5042225133
70	0.5040153463
71	0.5039463903
72	0.5038378372
73	0.5036818695
74	0.5035203227
75	0.5034540704
76	0.5033050892
77	0.5032515856
78	0.5031408263
79	0.5030079782
80	0.5029237255
81	0.5027690328
82	0.502684334
83	0.5025711931
84	0.5024691023
85	0.502367872
86	0.5022605197
87	0.5021832523
88	0.5020665386
89	0.5019197802
90	0.5017497466
91	0.5016034897
92	0.5014623291
93	0.5013257691
94	0.5012429311
95	0.5011650692
96	0.5010594679
97	0.5009794296
98	0.5008808354
99	0.500772777
100	0.5006879784
101	0.500580236
102	0.5005016433
103	0.5004062033
104	0.5002800161
105	0.5001584251
106	0.5000500487
107	0.499955285
108	0.4998590872
109	0.4997326461
110	0.4995997041
111	0.4995070653
112	0.4991897936
113	0.4989792243
114	0.4988873479
115	0.4987867456
116	0.4986572734
117	0.4985912218
118	0.4984739708
119	0.4983843615
120	0.4982509356
121	0.4981464052
122	0.4979692737
123	0.4978867798
124	0.4978340903
125	0.4977271166
126	0.4975829712
127	0.4974812431
128	0.4973753293
129	0.4972718559
130	0.4971987945
131	0.4970965741
132	0.4970170509
133	0.4968788462
134	0.4967651092
135	0.4967048591
136	0.496584093
137	0.4964834058
138	0.4964205613
139	0.4963478929
140	0.4962479149
141	0.4961675044
142	0.4961030393
143	0.495984029
144	0.495910914
145	0.4958220584
146	0.4956908622
147	0.4955995797
148	0.4955258512
149	0.4954345807
150	0.4953002561
151	0.4952018538
152	0.4950594669
153	0.4949384564
154	0.4948003597
155	0.4947393827
156	0.4946653294
157	0.4945773913
158	0.4945128145
159	0.4944123215
160	0.4943139134
161	0.4942553308
162	0.4941655096
163	0.4940822013
164	0.4939744265
165	0.4938074031
166	0.4936926931
167	0.4936272559
168	0.4935387032
169	0.493423305
170	0.4932946675
171	0.4931995409
172	0.4931233792
173	0.4930551454
174	0.4929732362
175	0.4929080171
176	0.4928001504
177	0.492724335
178	0.4926410973
179	0.4925877675
180	0.4925361683
181	0.4924604992
182	0.4924153297
183	0.4923106702
