iter	Passed	Remaining
0	202	101273
1	218	54473
2	238	39515
3	250	31093
4	264	26146
5	275	22707
6	288	20325
7	301	18559
8	314	17171
9	327	16062
10	340	15143
11	353	14356
12	366	13713
13	378	13129
14	393	12726
15	406	12286
16	417	11862
17	430	11534
18	443	11225
19	455	10942
20	469	10703
21	482	10472
22	494	10263
23	508	10084
24	521	9902
25	533	9731
26	547	9584
27	561	9457
28	573	9320
29	586	9182
30	598	9052
31	610	8934
32	624	8839
33	637	8732
34	648	8621
35	661	8527
36	674	8436
37	686	8344
38	698	8262
39	711	8178
40	722	8091
41	734	8012
42	747	7940
43	760	7880
44	773	7817
45	787	7774
46	800	7715
47	811	7644
48	824	7587
49	838	7548
50	854	7525
51	870	7498
52	887	7483
53	904	7468
54	919	7443
55	933	7401
56	952	7402
57	965	7360
58	979	7321
59	993	7287
60	1010	7272
61	1025	7242
62	1039	7208
63	1052	7171
64	1066	7139
65	1083	7124
66	1102	7123
67	1114	7078
68	1127	7042
69	1141	7011
70	1155	6982
71	1167	6938
72	1179	6902
73	1191	6861
74	1204	6824
75	1217	6792
76	1231	6764
77	1244	6732
78	1259	6712
79	1272	6681
80	1285	6651
81	1299	6623
82	1312	6595
83	1324	6561
84	1338	6534
85	1351	6506
86	1365	6482
87	1378	6453
88	1392	6432
89	1406	6407
90	1419	6381
91	1431	6349
92	1442	6313
93	1456	6288
94	1469	6264
95	1482	6237
96	1497	6220
97	1510	6196
98	1522	6167
99	1535	6142
100	1548	6117
101	1561	6093
102	1574	6068
103	1587	6046
104	1600	6019
105	1612	5993
106	1625	5971
107	1638	5948
108	1653	5933
109	1668	5916
110	1684	5902
111	1696	5877
112	1709	5855
113	1724	5837
114	1739	5823
115	1753	5804
116	1767	5785
117	1780	5765
118	1793	5742
119	1806	5721
120	1820	5702
121	1833	5680
122	1847	5661
123	1860	5642
124	1876	5630
125	1890	5612
126	1905	5597
127	1919	5579
128	1934	5564
129	1949	5548
130	1965	5535
131	1980	5521
132	1996	5509
133	2013	5498
134	2029	5486
135	2043	5469
136	2062	5463
137	2075	5444
138	2089	5426
139	2103	5409
140	2117	5392
141	2132	5377
142	2146	5359
143	2159	5338
144	2171	5317
145	2184	5297
146	2197	5275
147	2210	5257
148	2224	5239
149	2237	5221
150	2257	5217
151	2271	5199
152	2284	5181
153	2297	5162
154	2312	5147
155	2326	5130
156	2339	5111
157	2352	5092
158	2366	5074
159	2380	5057
160	2395	5043
161	2408	5025
162	2422	5008
163	2435	4989
164	2449	4972
165	2463	4956
166	2477	4939
167	2490	4921
168	2501	4899
169	2515	4882
170	2528	4865
171	2543	4849
172	2557	4833
173	2570	4816
174	2588	4807
175	2601	4789
176	2614	4771
177	2634	4764
178	2647	4747
179	2660	4730
180	2674	4713
181	2689	4698
182	2702	4682
183	2716	4665
184	2729	4647
185	2743	4630
186	2756	4613
187	2771	4598
188	2786	4584
189	2799	4568
190	2813	4551
191	2828	4537
192	2845	4525
193	2860	4512
194	2876	4498
195	2891	4484
196	2908	4472
197	2923	4459
198	2939	4445
199	2969	4454
200	2987	4444
201	3003	4430
202	3019	4417
203	3032	4400
204	3048	4386
205	3072	4384
206	3086	4369
207	3102	4354
208	3116	4339
209	3131	4324
210	3147	4311
211	3163	4297
212	3179	4284
213	3195	4270
214	3209	4254
215	3225	4240
216	3238	4222
217	3252	4207
218	3265	4190
219	3279	4174
220	3293	4158
221	3307	4141
222	3320	4124
223	3333	4107
224	3346	4090
225	3359	4073
226	3373	4057
227	3386	4039
228	3400	4023
229	3413	4007
230	3427	3991
231	3440	3974
232	3453	3957
233	3466	3940
234	3481	3925
235	3495	3910
236	3510	3895
237	3524	3880
238	3538	3864
239	3552	3848
240	3567	3833
241	3581	3818
242	3594	3801
243	3608	3785
244	3623	3771
245	3636	3755
246	3650	3738
247	3663	3722
248	3676	3706
249	3690	3690
250	3703	3674
251	3717	3658
252	3730	3641
253	3744	3626
254	3760	3613
255	3773	3597
256	3787	3580
257	3800	3565
258	3813	3548
259	3826	3531
260	3839	3515
261	3852	3499
262	3866	3484
263	3879	3468
264	3892	3451
265	3906	3436
266	3919	3420
267	3935	3406
268	3947	3390
269	3960	3373
270	3972	3357
271	3985	3341
272	3999	3325
273	4012	3309
274	4025	3293
275	4039	3278
276	4051	3262
277	4065	3246
278	4078	3230
279	4091	3214
280	4104	3198
281	4117	3183
282	4130	3167
283	4143	3151
284	4156	3135
285	4170	3120
286	4183	3104
287	4195	3088
288	4210	3073
289	4224	3059
290	4237	3043
291	4251	3028
292	4265	3013
293	4278	2997
294	4293	2983
295	4309	2969
296	4323	2955
297	4337	2940
298	4352	2925
299	4365	2910
300	4378	2895
301	4394	2881
302	4407	2865
303	4420	2850
304	4433	2834
305	4446	2818
306	4460	2804
307	4473	2788
308	4487	2773
309	4502	2759
310	4515	2744
311	4529	2729
312	4542	2714
313	4556	2698
314	4566	2682
315	4579	2666
316	4592	2651
317	4606	2636
318	4619	2620
319	4631	2605
320	4645	2590
321	4657	2574
322	4671	2559
323	4685	2545
324	4698	2529
325	4711	2514
326	4724	2499
327	4737	2484
328	4750	2469
329	4762	2453
330	4775	2438
331	4788	2423
332	4801	2408
333	4815	2393
334	4828	2378
335	4841	2363
336	4857	2349
337	4872	2335
338	4886	2320
339	4899	2305
340	4916	2292
341	4932	2278
342	4947	2264
343	4964	2251
344	4982	2238
345	4996	2224
346	5010	2209
347	5024	2194
348	5038	2180
349	5058	2167
350	5074	2154
351	5087	2139
352	5101	2124
353	5116	2110
354	5131	2096
355	5145	2081
356	5159	2066
